Stock,Annual_Return,Volatility,Sharpe_Ratio,Weight_AAPL,Weight_MSFT,Weight_GOOGL,Weight_AMZN,Weight_NVDA
AAPL,0.2748531557426717,0.2629033598013735,1.0454531883895528,1.0,0.0,0.0,0.0,0.0
MSFT,0.4323226378060716,0.3213611370948274,1.3452859972875366,0.0,1.0,0.0,0.0,0.0
GOOGL,0.3646624659817799,0.30167770350800766,1.2087816293394067,0.0,0.0,1.0,0.0,0.0
AMZN,0.33132140637099844,0.2388858030452869,1.386944733204543,0.0,0.0,0.0,1.0,0.0
NVDA,1.1103940769882263,0.5202578246509844,2.134314996094745,0.0,0.0,0.0,0.0,1.0
Equal-Weight Portfolio,0.5027107485779496,0.2560381341056978,1.9634213877313302,0.2,0.2,0.2,0.2,0.2
Sharpe-Optimized,0.854135349941942,0.39258379343990046,2.175676541453307,0.04566878592934371,0.1585527930561331,0.12069569194308367,0.02642099381336361,0.6486617352580759
